Composite.Element.REF	TCGA-3X-AAV9-01	TCGA-WD-A7RX-01	TCGA-3X-AAVC-01	TCGA-W5-AA34-01	TCGA-W5-AA33-01	TCGA-4G-AAZT-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA36-01	TCGA-YR-A95A-01	TCGA-ZH-A8Y8-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-3X-AAVA-01	TCGA-W6-AA0S-01	TCGA-W5-AA2I-01
NRAS|N-Ras	0.3535	-0.2276	-0.9012	1.1751	1.1017	-0.7457	-0.9115	-0.3746	-0.3451	-0.1632	1.0359	-0.3461	-0.8334	0.6417	0.3501	3.5945	-0.527	-0.7408	-0.0703	-0.674	-0.6883	0.0524	-1.0045	-0.2214	0.0798	-1.2864	1.2237	0.5204	-1.2885	1.2209
NDRG1|NDRG1_pT346	0.6094	-0.7666	0.8515	-0.4494	1.82	-1.1339	0.8506	-0.1014	-1.5185	0.9304	1.0803	-1.0425	-1.2568	0.6909	0.2216	-0.0749	-1.4903	-1.1256	0.8617	-0.1764	-1.2648	1.2077	-0.5677	-0.7644	-0.8367	-0.6627	1.9747	0.5642	0.3209	1.2485
CDKN1A|p21	0.1964	-0.7257	1.1847	-0.5595	0.0279	-1.5288	0.8426	0.6873	-1.1066	-0.3674	1.4667	-1.1067	-1.5227	0.7255	-0.3702	0.5195	-1.2695	-1.0152	0.6124	-0.0515	-1.2012	0.9904	0.3297	-1.3755	-0.229	0.4715	1.526	0.6987	-0.2213	2.3718
CDKN1B|p27_pT198	0.9045	-0.395	-1.0704	0.2228	0.2471	0.6696	-0.9305	-0.0917	-2.1359	0.2891	-0.0078	-0.1766	-0.0923	-0.1346	-0.4279	2.3219	-0.3231	-0.6335	0.9047	-0.6577	-0.3104	2.1958	-1.0167	-0.2927	-0.3887	-1.3028	2.3499	-0.3177	-0.3013	0.9018
RPS6KA1|p90RSK	0.2809	0.3212	2.3077	-0.9225	-0.6461	-0.2078	-0.141	0.1802	-1.3725	-0.9966	-0.654	0.69	-0.2356	-0.5788	-0.5544	-2.1177	3.011	1.0257	0.0771	0.1199	-0.1877	-0.5291	-0.8052	0.1251	-0.8538	1.0935	0.4608	-0.1994	0.7368	0.5722
PDCD4|PDCD4	0.6011	2.0579	1.023	1.1641	-0.1648	1.1568	0.5205	-1.4285	-0.449	0.2358	-0.1278	-0.7247	-1.1034	0.1658	-0.8196	0.0542	-1.9917	-0.7336	0.2453	0.7485	-0.6031	-1.5851	0.0664	0.0548	-1.1169	2.3846	-0.937	0.7188	0.0739	0.5136
PDK1|PDK1	-0.2803	0.2692	1.4954	0.6437	-2.8829	-0.0857	0.3008	0.506	1.0555	1.1377	-2.6548	0.2013	0.9279	-0.6475	0.0963	-0.2078	1.114	0.1671	0.0569	-0.5392	0.4662	-1.5438	0.9382	0.1669	0.3781	-0.6819	0.0522	-1.273	0.5874	0.2362
PEA15|PEA15_pS116	0.1775	-0.3976	0.6554	-1.0171	-1.1048	0.352	0.0849	-0.0882	0.0481	0.7375	0.1726	-0.402	-0.2502	-0.8871	-0.1425	3.4726	-0.6897	-0.445	0.9263	-0.7183	-0.0319	2.1497	-1.0952	-1.704	-0.2372	-0.3306	0.7383	-0.6729	-0.4053	1.1046
PIK3R1 PIK3R2|PI3K-p85	1.23	0.3124	0.9234	0.4532	-1.5505	2.2815	-0.0835	-0.3196	-0.5574	0.1714	-1.4177	-0.1473	0.1562	-1.4438	-0.8498	0.6595	1.0995	-0.6052	-0.4072	-1.133	-0.4641	-1.913	0.6493	0.9166	0.0755	-0.0395	0.1163	-1.0018	0.8887	2.0
PRKCB|PKC-pan_BetaII_pS660	0.4629	1.295	1.3841	-0.7599	0.3718	-0.0179	0.291	0.2484	-0.2531	-0.7392	-0.1149	-1.0111	1.4181	-0.0054	0.0111	-1.0289	1.1101	-1.5875	1.2767	0.7149	-0.4822	-1.3393	-0.1994	-0.039	-1.9222	2.4149	-1.1981	0.2131	0.6132	-1.1272
PRDX1|PRDX1	0.3647	0.4543	0.2786	1.3726	0.396	-0.0012	-0.8412	-0.2339	1.5502	-0.9504	0.2093	-1.7578	-1.1178	1.1	0.2148	-0.9379	-0.8183	-1.0774	1.0023	0.0657	-1.4944	-1.219	-0.0845	0.4622	0.7992	-0.4484	0.4983	0.1252	-0.8118	2.9004
RAB11A RAB11B|Rab11	1.104	-0.1257	0.4814	1.0055	-2.6428	0.0625	0.8052	-0.1485	0.4016	0.1127	-2.1307	-0.3124	0.3143	-0.3166	-0.8213	2.3035	-0.5122	-0.3999	-0.4061	-0.6799	0.8405	1.1519	-0.3195	-0.971	0.9367	0.1376	-0.178	-1.1281	-0.1522	1.5878
RAB25|Rab25	-0.8945	0.2884	0.0153	0.3214	1.1401	0.6752	0.3772	0.1406	-0.0583	0.8792	0.6766	0.9701	0.4796	0.5544	0.1127	-3.9886	0.7649	1.0518	-1.1647	-0.2375	1.3669	-1.3907	-0.3186	-0.4293	0.1752	-0.3564	-0.9852	0.0421	-0.3457	0.1378
RPTOR|Raptor	1.0109	0.1247	-0.6479	-0.569	-2.6877	0.8202	-0.1657	0.4648	1.1228	0.7723	-2.0445	0.7811	0.1946	-1.1822	-1.2923	1.6173	0.4204	-0.0408	0.1615	-0.1645	0.4391	-0.3132	-0.597	0.2742	1.6986	1.0213	-0.0912	-1.6364	0.3343	0.1746
RBM15|RBM15	-2.462	0.3729	0.4006	-0.5216	-0.1537	0.9181	-0.1445	0.2733	0.0737	0.8017	-0.3327	1.4965	0.5761	-0.3182	0.0506	-2.7725	1.0848	0.5266	0.7542	0.5846	1.2819	-1.3454	0.3869	0.5348	0.0674	0.2838	-1.1736	-0.2132	0.7073	-1.7385
RICTOR|Rictor	0.5464	-0.4112	-1.0262	-0.1156	-0.519	-0.1069	0.414	-0.0595	-0.2567	-1.1509	-0.5991	-0.1586	0.2042	-0.34	-0.3598	4.7848	-0.0322	0.3337	-0.3983	-0.1159	-0.1042	-1.0062	0.103	0.6365	0.7713	0.067	-0.4417	-0.2611	-0.64	0.242
RICTOR|Rictor_pT1135	0.9146	0.0447	0.0962	0.6451	-1.298	0.0705	0.3321	0.6045	-0.2986	0.0108	-1.1412	-0.588	-0.5343	-0.6534	-1.2727	3.761	-0.6136	-0.1682	-0.4322	-0.5472	-0.5296	1.985	-0.1346	-0.6349	0.3693	-0.551	0.3435	-0.8477	-0.1649	1.2328
SCD1|SCD1	0.1667	-0.4521	-0.7882	0.9594	1.9322	-0.6918	-0.7781	-0.8359	-1.027	-0.0928	2.0887	-0.0746	-0.8129	1.7014	0.8313	0.3025	-0.9162	-0.4696	0.4495	-0.7315	-0.9608	-0.3411	-1.1258	-0.3177	-0.0828	-1.1246	1.3991	1.7573	-1.0817	1.1172
SRSF1|SF2	-0.1602	-0.3018	-0.065	0.9118	1.5784	-1.2554	-0.3133	-0.366	-0.9537	-0.2428	1.4902	-0.1095	-0.8009	1.5999	0.972	-0.2304	-0.5466	-0.8501	0.7142	-0.4943	-0.8329	-0.2116	-1.6592	-0.8089	-0.3071	-0.7504	2.1533	1.4108	-1.2083	1.6377
WWTR1|TAZ	0.5316	0.1658	-1.141	-0.1178	-1.4385	-0.3741	-0.4171	0.6929	-0.5096	0.8775	-0.8791	-0.4859	0.3208	-0.0487	-1.1599	2.3824	-1.0891	0.91	-0.5439	-1.032	-0.2144	1.937	-0.4159	-0.6538	1.1984	-1.0948	0.7548	-0.4883	0.0689	2.2639
TIGAR|TIGAR	0.1355	-0.5361	1.8224	0.5045	-1.0769	-0.4709	-0.6837	-0.2613	-0.4464	-0.1158	-1.2699	-0.7727	0.8623	-0.5696	-0.9154	0.0459	-0.1492	-0.9486	-0.4845	-0.965	0.6842	0.6082	0.0085	0.2701	0.1252	1.6539	3.6707	-0.6678	-0.3442	0.2867
TGM2|Transglutaminase	0.5605	-0.2227	0.5272	0.5705	-1.361	-0.7029	-0.7186	0.0769	0.95	0.1339	-1.0472	-1.0934	0.6513	0.5997	-0.0437	0.3332	-0.6366	-0.9973	-0.4741	-0.4997	1.7323	-0.8902	-0.3481	-1.0287	-0.267	-0.4812	3.518	-0.5644	0.2599	1.4637
TFRC|TFRC	1.5702	-0.4128	0.5733	1.0585	-0.7886	-2.0913	-0.1177	0.5772	-0.2042	-0.6044	-0.8852	1.0732	-0.6797	-0.3977	0.4472	-1.8757	-0.6243	-1.362	1.6542	-0.1353	0.7468	-0.2383	-0.7032	-1.034	0.7752	1.378	-0.1412	-0.3895	1.2859	1.5457
TSC1|TSC1	0.0133	-0.0809	0.2292	-0.2217	-1.776	0.6511	-0.2199	-0.4933	0.3419	0.3912	-1.3229	0.7503	0.467	-1.5269	0.502	1.7017	2.0009	0.1296	-0.7907	0.2639	1.4533	-0.6517	0.4574	0.6575	0.0378	0.3554	-2.705	-0.854	1.0269	-0.7873
TSC2|Tuberin_pT1462	-0.1995	-0.1398	-1.3529	0.9333	2.0804	-1.2336	-0.5623	-0.0429	-1.2402	-0.398	1.629	-0.1762	-1.3172	1.5236	0.4883	1.6667	-0.4856	-0.4372	0.8966	-0.0455	-0.7227	0.2069	-0.9979	-0.1521	-0.708	-1.428	1.1697	1.5573	-0.6656	0.1533
VHL|VHL	-0.1318	-0.5183	1.6959	-0.7243	0.7934	-0.9313	-1.3355	2.0059	-0.7578	0.3892	0.5865	-0.8334	-1.0338	0.954	0.5347	-1.2593	0.1652	2.3031	0.0446	-1.1296	0.6631	0.2009	-0.5867	0.0378	1.5342	-1.4329	-0.0113	0.4154	-0.9569	-0.6812
XBP1|XBP1	-0.2031	-0.724	-1.2882	-0.3893	0.8145	-0.7223	-0.6145	0.6754	0.4609	0.8505	0.8594	-0.4722	-0.8141	0.4653	0.3063	4.0245	-0.0781	-0.549	1.0911	-0.5393	0.4915	0.0468	-1.1469	-0.916	0.0038	-0.4721	0.2901	0.436	-1.1358	-0.751
TUBA1B|Acetyl-a-Tubulin-Lys40	-1.3548	-0.9709	-1.0533	1.4327	-0.5808	0.0451	0.2368	0.638	-1.9174	-0.9077	-0.6984	1.6821	1.0761	-0.6414	1.3318	-1.3782	-0.755	1.5439	0.1471	0.5945	0.5541	-1.0857	0.4069	-0.9633	0.0157	0.3355	1.9099	0.0881	0.6264	-0.358
SQSTM1|p62-LCK-ligand	-0.499	0.096	-0.5431	-0.8111	-0.5857	2.0708	2.1958	-0.2464	2.6957	-0.4406	-0.6473	-0.3418	-0.7375	-0.6397	-0.1813	-1.3689	-0.0241	-0.6023	-0.0702	-0.2405	0.5375	-0.6647	0.1789	2.1812	0.0014	0.9509	-0.1478	-0.5291	-0.8504	-0.7368
YWHAB|14-3-3_beta	0.7339	-0.6431	-0.4697	1.068	1.6317	-0.7488	-0.4589	-0.8278	-0.6726	0.1318	1.0993	-0.8618	-0.7812	1.2258	0.3587	2.9425	-0.0963	-0.882	1.1952	-1.2561	-0.4307	0.1859	-1.284	-0.7456	0.3223	-1.4318	-0.0432	0.636	-0.8042	0.9065
YWHAZ|14-3-3_zeta	0.9354	0.2764	1.0909	1.7532	-1.8694	0.2807	0.7395	-0.0465	0.4959	1.6817	-2.1062	-0.6207	0.4343	0.2927	-0.511	-0.2289	-0.9913	-0.6977	0.072	-0.1481	-0.687	-1.0663	0.53	0.6033	0.856	-0.5745	-1.4836	-1.2209	0.3198	1.8901
ACVRL1|ACVRL1	0.791	-0.3469	-0.7477	1.4776	0.8752	-0.8915	0.2564	-0.5352	-0.1073	-0.7381	1.2124	-1.1425	-0.5615	1.1077	0.0711	2.9454	-1.3951	-1.432	0.3046	-0.7392	-1.4385	0.9955	-0.3878	-0.8018	0.1466	-0.753	0.7664	0.7181	-0.4584	0.8085
DIRAS3|DIRAS3	0.097	-0.3543	-1.1729	0.8475	2.3389	-0.8508	-0.7715	-0.681	-1.0314	-0.5626	2.0475	-0.2477	-0.4974	1.8263	1.174	0.6161	-0.8852	-0.1655	0.5259	-0.191	-0.9632	0.1459	-1.1219	-0.5111	0.2026	-1.2678	0.8671	1.6627	-0.8594	-0.2169
ANXA1|Annexin-1	1.9003	0.9165	1.3117	0.1654	1.6044	-0.5325	-0.7844	0.2701	-1.2599	-0.9145	0.9526	-1.1078	-0.7058	1.2252	0.2952	1.4837	-2.0984	-0.4015	0.3025	0.0902	-1.649	-1.058	-0.2741	0.1264	0.5383	-1.22	-0.0102	1.0092	-0.1211	-0.0546
PREX1|PREX1	1.8499	1.11	0.9209	1.1866	1.4287	-0.0827	-0.8649	1.1988	-0.0726	-0.8992	0.6136	-0.7938	-1.53	0.8517	-0.3879	-1.0984	-1.2245	-1.5621	1.0443	-0.1689	0.0466	-0.7663	-0.7945	0.5938	0.5401	-1.4875	-1.2361	0.6926	-0.286	1.1776
ERCC1|ERCC1	-1.5753	-0.0505	-0.1875	0.0595	0.6146	-0.6887	-1.6806	-0.6194	-0.9199	0.5925	0.9221	-0.7055	-0.3744	0.5161	0.6154	-1.5717	1.6908	0.1157	0.5542	-0.585	0.9767	2.4543	-0.5104	0.0044	0.401	-0.3596	0.9159	0.8833	0.6418	-2.1298
MSH2|MSH2	-0.3207	0.0208	-0.796	0.8522	2.3351	-0.7627	-0.7997	-1.162	-0.9108	-0.5167	2.0015	0.2368	-0.388	1.722	1.3669	-1.4121	-0.1497	-0.2342	0.7248	0.2214	-0.4974	-0.8416	-0.976	0.1205	-0.0176	-0.693	0.6503	1.8659	-1.0087	-0.6314
MSH6|MSH6	-1.3846	0.4619	0.5053	-0.5827	-1.8929	-0.4041	0.6941	-0.4578	1.0093	-0.3834	-1.0425	1.3638	-0.1454	-1.3494	0.3031	-2.064	2.0211	-0.0676	0.107	1.8014	0.7866	0.9638	0.1746	0.1765	-0.1057	1.1279	-0.8179	-0.7248	0.703	-0.7767
DIABLO|Smac	0.4243	-0.7068	0.0126	1.2572	-0.5898	-0.0178	0.7104	-1.1756	-0.0763	-0.6562	-0.3255	1.176	0.3541	-0.3017	0.0825	-1.783	0.9349	-0.8686	0.4366	-1.1009	-0.4904	-2.4821	0.1019	0.3751	0.9248	0.3755	2.6201	-0.4211	-0.3498	1.5597
ADAR|ADAR1	-0.2923	-0.6062	-1.7425	0.741	0.878	-0.8099	-1.8527	-0.9422	-0.7118	1.9823	1.1634	-0.1365	-0.0033	0.6184	1.2513	-1.2619	0.071	-0.0828	0.1954	-0.9523	0.825	0.0768	-0.499	0.9567	0.2144	-1.1506	1.8738	1.0918	-1.3376	0.4422
CTNNA1|alpha-Catenin	-0.3471	-0.0212	-0.0439	1.3156	1.0756	-0.8182	-0.7155	-0.7802	-0.4816	1.1057	1.0218	0.5846	0.3217	1.3658	0.4883	-3.2193	-0.0438	0.3067	0.2086	-0.0256	-0.3694	-0.8937	-1.2549	-0.9183	0.4265	-1.0683	1.3041	1.1549	-0.8105	1.1316
NKX2-1|TTF1	0.8143	-0.7234	-0.9684	0.6947	1.3565	-0.7065	-0.54	-0.7884	-1.3653	-0.2452	1.0699	-0.792	-0.5671	0.9794	0.0034	2.9114	-0.4113	-0.8061	0.4864	-0.9332	-1.0363	1.4723	-0.7467	-0.3788	0.4224	-1.3152	0.5537	0.7872	-0.5322	1.3043
CASP3|Caspase-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CASP9|Caspase-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP1|PARP1	-0.0326	1.2894	0.2386	2.6777	0.1326	-1.2782	-1.2024	-1.0133	0.2344	0.9139	-0.9802	0.2726	-1.6499	-0.2583	-1.5297	-1.1288	0.8191	1.1824	-0.0136	-0.201	0.4503	-1.1748	0.21	1.5322	-0.2642	-0.2521	-0.0947	-0.668	0.4557	1.3327
COPS5|JAB1	-0.0379	-0.1108	-0.8862	0.8079	2.446	-0.7326	-0.6114	-0.8725	-0.7175	-0.4662	2.2653	-0.1371	-0.4652	1.7995	1.2772	-1.1243	-0.7318	-0.2134	0.5026	-0.0197	-0.6714	-0.843	-1.0979	-0.061	0.0666	-0.8084	1.0259	1.687	-0.8522	-0.4175
